age,county,count,sex
40-44,Rutland,2020,1
40-44,Windham,1343,1
40-44,Windsor,1779,1
40-44,Washington,2067,1
40-44,Grand Isle,257,1
40-44,Lamoille,849,1
40-44,Orange,960,1
40-44,Bennington,1166,1
40-44,Orleans,900,1
40-44,Chittenden,5146,1
40-44,Essex,222,2
40-44,Franklin,1849,2
40-44,Caledonia,927,2
40-44,Addison,1311,2
40-44,Rutland,2039,2
40-44,Windham,1503,2
40-44,Windsor,1807,2
40-44,Washington,2144,2
40-44,Grand Isle,240,2
40-44,Lamoille,820,2
40-44,Orange,983,2
40-44,Bennington,1244,2
40-44,Orleans,847,2
40-44,Chittenden,5462,2
45-49,Essex,262,1
45-49,Franklin,2023,1
45-49,Caledonia,1143,1
45-49,Addison,1517,1
45-49,Rutland,2535,1
45-49,Windham,1756,1
45-49,Windsor,2204,1
45-49,Washington,2353,1
45-49,Grand Isle,286,1
45-49,Lamoille,962,1
45-49,Orange,1179,1
45-49,Bennington,1415,1
45-49,Orleans,1053,1
45-49,Chittenden,5826,1
45-49,Essex,253,2
45-49,Franklin,2046,2
45-49,Caledonia,1247,2
45-49,Addison,1451,2
45-49,Rutland,2533,2
45-49,Windham,1947,2
45-49,Windsor,2474,2
45-49,Washington,2407,2
45-49,Grand Isle,342,2
45-49,Lamoille,989,2
45-49,Orange,1241,2
45-49,Bennington,1527,2
45-49,Orleans,1009,2
45-49,Chittenden,6130,2
50-54,Essex,285,1
50-54,Franklin,1968,1
50-54,Caledonia,1192,1
50-54,Addison,1507,1
50-54,Rutland,2592,1
50-54,Windham,1971,1
50-54,Windsor,2473,1
50-54,Washington,2453,1
50-54,Grand Isle,346,1
50-54,Lamoille,989,1
50-54,Orange,1327,1
50-54,Bennington,1514,1
50-54,Orleans,1076,1
50-54,Chittenden,6080,1
50-54,Essex,297,2
50-54,Franklin,1978,2
50-54,Caledonia,1309,2
50-54,Addison,1550,2
50-54,Rutland,2738,2
50-54,Windham,2023,2
50-54,Windsor,2596,2
50-54,Washington,2643,2
50-54,Grand Isle,321,2
50-54,Lamoille,1024,2
50-54,Orange,1344,2
50-54,Bennington,1585,2
50-54,Orleans,1052,2
50-54,Chittenden,6260,2
55-59,Essex,317,1
55-59,Franklin,1684,1
55-59,Caledonia,1300,1
55-59,Addison,1444,1
55-59,Rutland,2539,1
55-59,Windham,1967,1
55-59,Windsor,2436,1
55-59,Washington,2332,1
55-59,Grand Isle,340,1
55-59,Lamoille,857,1
55-59,Orange,1199,1
55-59,Bennington,1387,1
55-59,Orleans,1059,1
55-59,Chittenden,5044,1
55-59,Essex,240,2
55-59,Franklin,1745,2
55-59,Caledonia,1354,2
55-59,Addison,1488,2
55-59,Rutland,2579,2
55-59,Windham,2022,2
55-59,Windsor,2497,2
55-59,Washington,2478,2
55-59,Grand Isle,351,2
55-59,Lamoille,886,2
55-59,Orange,1236,2
55-59,Bennington,1535,2
55-59,Orleans,1124,2
55-59,Chittenden,5299,2
60-61,Essex,105,1
60-61,Franklin,579,1
60-61,Caledonia,429,1
60-61,Addison,544,1
60-61,Rutland,968,1
60-61,Windham,739,1
60-61,Windsor,877,1
60-61,Washington,961,1
60-61,Grand Isle,133,1
60-61,Lamoille,345,1
60-61,Orange,489,1
60-61,Bennington,575,1
60-61,Orleans,372,1
60-61,Chittenden,1731,1
60-61,Essex,114,2
60-61,Franklin,551,2
60-61,Caledonia,476,2
60-61,Addison,544,2
60-61,Rutland,913,2
60-61,Windham,728,2
60-61,Windsor,880,2
60-61,Washington,925,2
60-61,Grand Isle,113,2
60-61,Lamoille,306,2
60-61,Orange,458,2
60-61,Bennington,549,2
60-61,Orleans,431,2
60-61,Chittenden,1799,2
62-64,Essex,162,1
62-64,Franklin,828,1
62-64,Caledonia,656,1
62-64,Addison,696,1
62-64,Rutland,1273,1
62-64,Windham,926,1
62-64,Windsor,1199,1
62-64,Washington,1141,1
62-64,Grand Isle,167,1
62-64,Lamoille,449,1
62-64,Orange,608,1
62-64,Bennington,759,1
62-64,Orleans,617,1
62-64,Chittenden,2281,1
62-64,Essex,141,2
62-64,Franklin,735,2
62-64,Caledonia,603,2
62-64,Addison,721,2
62-64,Rutland,1303,2
62-64,Windham,977,2
62-64,Windsor,1292,2
62-64,Washington,1158,2
62-64,Grand Isle,164,2
62-64,Lamoille,398,2
62-64,Orange,598,2
62-64,Bennington,785,2
62-64,Orleans,554,2
62-64,Chittenden,2409,2
65-66,Essex,98,1
65-66,Franklin,415,1
65-66,Caledonia,343,1
65-66,Addison,428,1
65-66,Rutland,707,1
65-66,Windham,517,1
