Year,Cnty,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Caledonia,40000 - 44999,626.0,1468.0,357.0,215.0,7.0,47.0,26592573.0,16117281.0,15981367.0,578777.1625
2005,Caledonia,45000 - 49999,525.0,1318.0,362.0,128.0,7.0,28.0,24949986.0,15517254.0,15368074.0,578470.2117999999
2005,Caledonia,50000 - 59999,861.0,2262.0,683.0,147.0,7.0,24.0,47226950.0,30433845.0,29978881.0,1114889.0135999995
2005,Caledonia,60000 - 74999,1033.0,2804.0,892.0,111.0,9.0,21.0,69167743.0,47847913.0,47179771.0,1769892.2669
2005,Caledonia,75000 - 99999,822.0,2273.0,746.0,62.0,3.0,11.0,70153440.0,51459168.0,50329201.0,2156349.24
2005,Caledonia,100000 - 149999,431.0,1167.0,383.0,35.0,3.0,10.0,51181305.0,39689608.0,37925455.0,1904096.5724
2005,Caledonia,150000 +,289.0,762.0,251.0,27.0,1.0,10.0,91934744.0,80465867.0,72838482.0,4892814.7414
2005,Chittenden,Loss or None,804.0,855.0,158.0,604.0,16.0,26.0,-23738698.0,9989.0,9989.0,971.0
2005,Chittenden,0.01 - 4999,6437.0,3682.0,263.0,5822.0,47.0,305.0,17107340.35,1145614.0,932279.0,33805.2232
2005,Chittenden,5000 - 9999,5944.0,5013.0,388.0,5111.0,58.0,387.0,43779202.17,6059643.18,5918691.18,211067.9535
2005,Chittenden,10000 - 14999,5083.0,6900.0,567.0,3917.0,81.0,518.0,63286625.0,17799627.0,17441521.0,600583.0696999999
2005,Chittenden,15000 - 19999,5057.0,7153.0,722.0,3720.0,73.0,542.0,88580296.0,35428708.0,34924786.0,1202600.7319999991
2005,Chittenden,20000 - 24999,5150.0,7342.0,733.0,3720.0,100.0,597.0,115896787.0,58678802.0,58130526.0,2013621.8715
2005,Chittenden,25000 - 29999,4637.0,6914.0,797.0,3181.0,96.0,563.0,127516217.0,72892656.0,72393118.0,2540315.4933
2005,Chittenden,30000 - 34999,4027.0,6250.0,839.0,2653.0,88.0,447.0,130594760.28,79582828.28,79064432.28,2774443.7168
2005,Chittenden,35000 - 39999,3616.0,6004.0,948.0,2193.0,80.0,395.0,135377988.0,85894212.0,85231574.0,3025162.108099998
2005,Chittenden,40000 - 44999,3021.0,5338.0,1013.0,1652.0,53.0,303.0,128127801.01,82494949.0,81848625.0,3049825.5996000012
2005,Chittenden,45000 - 49999,2790.0,5431.0,1169.0,1316.0,46.0,259.0,132304490.0,85635101.0,85068005.0,3271756.6572
2005,Chittenden,50000 - 59999,4633.0,10078.0,2561.0,1653.0,64.0,355.0,254297035.0,168304975.0,166663330.0,6570467.8983999975
2005,Chittenden,60000 - 74999,5954.0,14804.0,4273.0,1344.0,52.0,285.0,400332594.7,272537792.0,269516650.0,10662635.888500007
2005,Chittenden,75000 - 99999,7002.0,19502.0,5905.0,857.0,38.0,202.0,605516863.0,429593189.0,424343278.0,18497228.1375
2005,Chittenden,100000 - 149999,5517.0,16449.0,4847.0,505.0,37.0,128.0,660904418.0,491625810.0,481625659.0,24646561.2543
2005,Chittenden,150000 +,4037.0,12168.0,3543.0,382.0,29.0,83.0,1411457130.01,1179403204.0,1050626884.0,71870156.19450001
2005,Essex,Loss or None,30.0,46.0,12.0,17.0,0.0,1.0,-871654.0,0.0,0.0,0.0
2005,Essex,0.01 - 4999,275.0,275.0,47.0,205.0,2.0,21.0,720929.0,14588.0,13080.0,1016.0
2005,Essex,5000 - 9999,293.0,366.0,51.0,209.0,2.0,31.0,2245749.0,178943.0,176400.0,6093.1196999999975
2005,Essex,10000 - 14999,314.0,543.0,85.0,177.0,6.0,46.0,3925342.0,763139.0,782500.0,26916.7677
2005,Essex,15000 - 19999,251.0,442.0,79.0,131.0,6.0,35.0,4406535.0,1341121.0,1327813.0,47212.9777
2005,Essex,20000 - 24999,257.0,482.0,93.0,118.0,6.0,40.0,5753462.0,2311247.0,2269326.0,78584.3296
2005,Essex,25000 - 29999,227.0,420.0,83.0,111.0,9.0,24.0,6213846.0,3120716.0,3069036.0,104927.519
2005,Essex,30000 - 34999,169.0,352.0,86.0,59.0,3.0,21.0,5474591.0,2864909.0,2840466.0,97314.1587
2005,Essex,35000 - 39999,150.0,331.0,78.0,59.0,0.0,13.0,5612690.0,3235008.0,3187204.0,113514.0851
2005,Essex,40000 - 44999,118.0,287.0,77.0,31.0,3.0,7.0,5003257.0,2934342.0,2907715.0,106205.8594
2005,Essex,45000 - 49999,121.0,331.0,98.0,21.0,0.0,2.0,5728635.0,3462572.0,3415042.0,129975.711
2005,Essex,50000 - 59999,197.0,520.0,163.0,21.0,3.0,10.0,10792243.0,7090805.0,7015235.0,259589.48470000003
2005,Essex,60000 - 74999,202.0,551.0,183.0,17.0,1.0,1.0,13534985.0,9444542.0,9286909.0,338618.8708000001
2005,Essex,75000 - 99999,113.0,329.0,106.0,6.0,0.0,1.0,9645380.0,7090148.0,6845662.0,290359.65309999994
2005,Essex,100000 - 149999,42.0,108.0,41.0,1.0,0.0,0.0,4842606.0,3809354.0,3657845.0,175638.53379999998
2005,Franklin,Loss or None,248.0,386.0,99.0,134.0,6.0,9.0,-7522259.0,0.0,0.0,217.0
2005,Franklin,0.01 - 4999,1876.0,1432.0,136.0,1633.0,18.0,89.0,5048725.0,116603.0,89902.0,3498.1789
2005,Franklin,5000 - 9999,1996.0,2089.0,225.0,1585.0,22.0,164.0,14737413.0,1419684.0,1390903.0,49695.0463
2005,Franklin,10000 - 14999,1700.0,2794.0,335.0,1052.0,36.0,277.0,21130636.0,4590753.0,4500174.0,156078.0409
2005,Franklin,15000 - 19999,1617.0,2859.0,420.0,866.0,52.0,279.0,28171614.0,8852114.0,8780149.0,306922.4053
2005,Franklin,20000 - 24999,1565.0,2756.0,393.0,866.0,39.0,267.0,35111002.0,15438499.0,15272396.0,533993.0510999999
2005,Franklin,25000 - 29999,1647.0,2963.0,462.0,886.0,35.0,264.0,45355867.0,23583839.0,23324481.0,819038.5891000001
2005,Franklin,30000 - 34999,1427.0,2636.0,426.0,775.0,30.0,196.0,46357833.0,26595151.0,26322125.0,926245.688
2005,Franklin,35000 - 39999,1206.0,2530.0,503.0,533.0,17.0,153.0,45139813.0,26564113.0,26369627.0,934650.8291
2005,Franklin,40000 - 44999,1007.0,2180.0,501.0,385.0,15.0,106.0,42684688.0,26183342.0,25929224.0,951111.1798
2005,Franklin,45000 - 49999,915.0,2200.0,543.0,266.0,14.0,92.0,43421248.0,27077506.0,26745081.0,1008774.2208999998
2005,Franklin,50000 - 59999,1521.0,3908.0,1098.0,305.0,16.0,102.0,83571969.0,54218919.0,53534725.0,2024230.4762
2005,Franklin,60000 - 74999,1943.0,5535.0,1648.0,203.0,9.0,83.0,130411262.0,88712384.0,87644296.0,3312355.2268
2005,Franklin,75000 - 99999,1950.0,5789.0,1801.0,102.0,11.0,36.0,166952457.0,121267638.0,120027155.0,5137669.497099998
2005,Franklin,100000 - 149999,950.0,2828.0,880.0,54.0,2.0,14.0,111142411.0,84378108.0,81714610.0,4081959.6175
2005,Franklin,150000 +,423.0,1198.0,360.0,56.0,1.0,6.0,143853087.0,121398798.0,108389786.0,7737007.3149
2005,Grand Isle,Loss or None,51.0,69.0,17.0,30.0,3.0,1.0,-1533064.0,0.0,0.0,0.0
2005,Grand Isle,0.01 - 4999,312.0,220.0,21.0,276.0,1.0,14.0,906866.0,36964.0,30872.0,1175.0
2005,Grand Isle,5000 - 9999,320.0,310.0,33.0,260.0,6.0,21.0,2376518.0,249155.0,243545.0,8710.274300000001
2005,Grand Isle,10000 - 14999,272.0,430.0,56.0,181.0,5.0,30.0,3407128.0,786255.0,780569.0,27104.877999999993
2005,Grand Isle,15000 - 19999,248.0,403.0,71.0,145.0,4.0,28.0,4305537.0,1362270.0,1336662.0,46201.4614
2005,Grand Isle,20000 - 24999,233.0,432.0,74.0,114.0,8.0,37.0,5254771.0,2174905.0,2168506.0,72754.8563
2005,Grand Isle,25000 - 29999,261.0,473.0,84.0,128.0,6.0,43.0,7171760.0,3578003.0,3563983.0,121557.6758
2005,Grand Isle,30000 - 34999,185.0,364.0,75.0,86.0,1.0,23.0,6008402.0,3145319.0,3114172.0,106766.028
2005,Grand Isle,35000 - 39999,173.0,298.0,56.0,93.0,5.0,19.0,6491069.0,4063960.0,4059686.0,143309.9255
2005,Grand Isle,40000 - 44999,146.0,282.0,68.0,64.0,2.0,12.0,6184258.0,3856814.0,3836379.0,135255.0461
2005,Grand Isle,45000 - 49999,170.0,358.0,89.0,57.0,9.0,15.0,8087018.0,5104016.0,5047558.0,189338.6472
2005,Grand Isle,50000 - 59999,239.0,574.0,163.0,57.0,4.0,15.0,13126819.0,8509449.0,8432087.0,314870.23990000004
2005,Grand Isle,60000 - 74999,352.0,867.0,283.0,56.0,3.0,10.0,23668993.0,16172393.0,15974976.0,587573.1069
2005,Grand Isle,75000 - 99999,331.0,873.0,294.0,29.0,3.0,5.0,28507463.0,20287430.0,19902043.0,817793.7943
2005,Grand Isle,100000 - 149999,211.0,550.0,193.0,14.0,1.0,3.0,25067936.0,18773213.0,18231208.0,885440.9526
2005,Grand Isle,150000 +,170.0,457.0,153.0,13.0,1.0,3.0,58854500.0,48117171.0,44365640.0,2972051.9584
2005,Lamoille,Loss or None,174.0,216.0,52.0,110.0,4.0,8.0,-3484826.0,0.0,0.0,731.0
2005,Lamoille,0.01 - 4999,1097.0,886.0,105.0,919.0,10.0,63.0,2872322.0,94556.0,76042.0,2947.584000000001
2005,Lamoille,5000 - 9999,1175.0,1217.0,124.0,922.0,23.0,106.0,8717071.65,916246.65,913531.65,32719.621700000003
2005,Lamoille,10000 - 14999,1005.0,1450.0,134.0,716.0,15.0,140.0,12582937.0,3263255.0,3200701.0,111441.78300000001
2005,Lamoille,15000 - 19999,1020.0,1559.0,172.0,686.0,17.0,145.0,17882762.0,6664301.0,6611466.0,229328.6993999999
2005,Lamoille,20000 - 24999,917.0,1494.0,215.0,544.0,13.0,145.0,20638086.0,9349146.0,9224704.0,320160.6581000001
2005,Lamoille,25000 - 29999,836.0,1441.0,235.0,481.0,14.0,106.0,22968199.0,12058905.0,11936323.0,417189.3813
2005,Lamoille,30000 - 34999,708.0,1315.0,224.0,363.0,22.0,99.0,22981849.0,13039443.0,12908796.0,454245.4651
2005,Lamoille,35000 - 39999,571.0,1175.0,245.0,243.0,13.0,70.0,21402234.0,12448826.0,12304817.0,434689.2487
2005,Lamoille,40000 - 44999,475.0,951.0,232.0,199.0,4.0,40.0,20172907.0,12576107.0,12426748.0,456464.2603
2005,Lamoille,45000 - 49999,451.0,1098.0,277.0,135.0,6.0,33.0,21379311.0,13141492.0,12940033.0,483378.6946000001
2005,Lamoille,50000 - 59999,748.0,1931.0,541.0,164.0,7.0,36.0,41020232.0,26070255.0,25705815.0,961707.9115
2005,Lamoille,60000 - 74999,929.0,2376.0,728.0,154.0,10.0,37.0,62153866.0,42968556.0,42289055.0,1631897.6179000004
2005,Lamoille,75000 - 99999,874.0,2419.0,771.0,84.0,6.0,13.0,75215916.00999999,53816583.0,52568874.0,2257969.4375
2005,Lamoille,100000 - 149999,515.0,1404.0,441.0,57.0,3.0,14.0,61768930.0,45504118.0,44129794.0,2239610.1177000003
2005,Lamoille,150000 +,423.0,1123.0,352.0,54.0,5.0,12.0,226934808.0,191203952.0,166429943.0,12204232.461
2005,Orange,Loss or None,176.0,252.0,57.0,109.0,6.0,4.0,-5653553.0,9.0,9.0,468.0
2005,Orange,0.01 - 4999,1336.0,1028.0,149.0,1111.0,18.0,58.0,3472526.0,115569.0,99328.0,3859.2441
2005,Orange,5000 - 9999,1253.0,1368.0,185.0,955.0,15.0,98.0,9279159.0,989193.0,954936.0,33555.363900000004
2005,Orange,10000 - 14999,1114.0,1732.0,217.0,747.0,18.0,132.0,13931964.0,3283181.0,3192392.0,110223.4758
2005,Orange,15000 - 19999,1094.0,1792.0,282.0,648.0,21.0,143.0,19137154.0,6320887.72,6234631.72,215164.7938
2005,Orange,20000 - 24999,1079.0,1877.0,286.0,587.0,30.0,176.0,24192105.0,10484018.0,10317767.0,360957.6591
2005,Orange,25000 - 29999,977.0,1782.0,310.0,518.0,17.0,132.0,26881583.0,13620072.0,13468393.0,472650.6633000001
2005,Orange,30000 - 34999,888.0,1644.0,301.0,443.0,17.0,127.0,28869239.0,16453679.0,16252201.0,565320.4753999999
2005,Orange,35000 - 39999,795.0,1590.0,342.0,349.0,17.0,87.0,29679949.0,17680514.0,17395539.0,615706.0503
2005,Orange,40000 - 44999,663.0,1412.0,320.0,255.0,17.0,71.0,28152510.0,17349064.0,17175814.0,633872.7796999997
2005,Orange,45000 - 49999,586.0,1362.0,365.0,161.0,6.0,54.0,27776994.0,17387097.0,17143691.0,638499.8101000001
