Year,County,Cnt_Return,Cnt_Exempt,Cnt_MarJnt,Cnt_Single,Cnt_MarSep,Cnt_HdHous,Cnt_OthCrd,Cnt_Wthhld,Cnt_Estmt,Cnt_Adjstd,Cnt_NoTax,Cnt_EIC,Dol_AGI,Dol_FedTI,Dol_VTI,Dol_AdjVTx,Dol_OthCrd,Dol_NetVTax,Dol_EIC,Dol_AdjAGI
2007,Grand Isle,3812,7127,1769,1708,51,284,222,3182,494,104,758,428,219537967,151611727,145526100,7546126.75,351533.4184,7194593.332,239497,26023.95664
2007,Lamoille,12455,22652,4865,6220,217,1153,386,10287,1543,384,2757,1791,711283213,496829808.4,473076165.4,27074424.99,2041006.089,25033418.91,916551,23024.57708
2007,Orange,14692,27329,6305,6878,248,1261,318,11825,1697,455,3219,1956,673906733,448026500,431272795,20634810.18,517210.9364,20117599.25,1044019,22582.14036
2007,Orleans,13152,24941,5692,6092,182,1186,262,10462,1176,384,3680,2469,498376536,310540756,297346050,13617436.4,302393.6302,13315042.77,1403585,18488.28183
2007,Rutland,31967,57322,12780,16158,453,2576,1416,26492,3349,921,7364,4194,1462845076,978081207.7,938920728.7,45839586.98,2077606.917,43761980.06,2211540,22814.95306
2007,Washington,30110,54511,12012,14925,441,2732,842,25276,3654,805,6024,3522,1546752005,1071389644,1025087139,51546257.73,2515247.307,49031010.42,1746825,24826.88819
2007,Windham,22648,40454,8705,11483,408,2052,1660,17380,3167,792,5466,3189,1108962186,763867001.5,710160433.5,37078074.84,3800068.984,33278005.85,1661006,22996.82809
2007,Windsor,29860,53735,12265,14713,524,2358,1023,23368,4544,1116,6612,3410,1707432361,1202124973,1106989100,59325437.06,4195244.148,55130192.92,1761515,25050.18957
2007,Suppressed,197,361,100,86,4,7,34,106,26,9,91,25,7686239,6938057,6054785,331829.5397,104575,227254.5397,5869,19438.42105
2008,Addison,17780,33415,7655,8480,283,1362,604,14573,2312,502,3742,2118,907052068.5,608689612,588947036,29214625.6,1092969.705,28121655.9,1089073,24046.59511
2008,Bennington,18451,33574,7482,9032,305,1632,2250,13778,2626,523,5127,2615,972388988.8,649475488.1,624735054.1,34072628.21,7238132.915,26834495.29,1481535,23184.3142
2008,Caledonia,14535,27514,6190,6785,203,1357,300,11766,1471,420,3822,2601,590471499,370276680,362217284,16777474.24,509549.8814,16267924.36,1485471,19975.29578
2008,Chittenden,76264,136879,29271,40545,960,5488,2971,66644,9471,2690,13536,6962,4899624479,3381021928,3297904246,180222659.6,5861424.678,174361234.9,3405554,28465.01226
2008,Essex,2862,5425,1293,1266,45,258,45,2205,219,129,816,548,91631357,51572497,51265654,2006623.858,36207.9474,1970415.911,315870,17063.4094
2008,Franklin,22764,45078,9977,10178,356,2253,490,19813,1597,588,4879,3376,1058507846,685222190,680392582,31693957.38,863763.5746,30830193.8,1940817,21942.98543
2008,Grand Isle,3745,7007,1756,1649,58,282,215,3104,502,96,785,453,212377406,143580107,140384660,7326361.251,367356.4075,6959004.844,242765,25942.38718
2008,Lamoille,12265,22456,4868,6097,194,1106,385,10162,1550,332,2825,1826,666066856.8,449523105,443979125,25275541.84,1467041.054,23808500.79,968625,23018.24558
2008,Orange,14637,27223,6264,6833,246,1294,322,11855,1734,429,3307,2012,658872195.6,425509188.4,418575073.4,19263995.81,458380.0857,18805615.72,1117929,22580.63875
2008,Orleans,13114,24693,5639,6133,169,1173,256,10505,1177,403,3725,2455,491363986.6,299466235,294966180,13371207.45,632175.9262,12739031.52,1408471,18780.1576
2008,Rutland,31718,56813,12654,16038,436,2590,1391,26511,3328,908,7421,4293,1418346306,923134902.2,907325605.2,43324513.85,2277953,41046560.85,2366228,22765.56024
2008,Washington,29817,53925,11966,14753,488,2610,871,25162,3694,864,6170,3571,1490723393,1003260460,993049333.7,48448883.91,1901099.203,46547784.71,1829339,25003.36432
2008,Windham,22290,39837,8613,11296,434,1947,1630,17239,3147,765,5571,3199,1021008707,671743457,657948792,32604877.62,3087550.958,29517326.66,1722447,23014.37385
2008,Windsor,29409,53132,12197,14351,507,2354,990,23095,4553,1133,6727,3453,1591944398,1084160674,1042867472,54395706.53,5140517.47,49255189.06,1793726,24855.64786
2008,Suppressed,208,391,107,91,3,7,31,125,28,12,85,22,10472092,10366625,9387508,520150.9895,58520,461630.9895,1833,26733.45269
2009,Addison,17601,33144,7596,8349,295,1361,594,14299,2184,409,4240,2429,833041939.5,542697742.8,546536456.6,25580704.95,937117.0732,24643587.88,1369077,23332.84149
2009,Bennington,18032,33126,7368,8710,307,1647,2179,13299,2426,478,5620,2938,841440784.6,534869163,546604258,27214420.59,4213823.856,23000596.73,1761087,22263.69612
2009,Caledonia,14142,27143,6137,6472,206,1327,311,11386,1365,347,3950,2770,554758847.6,336730297,340703564,15136413.39,445680.1558,14690733.23,1709718,19556.65666
2009,Chittenden,75145,135951,29186,39449,1006,5504,3009,65088,8885,2243,14248,7514,4630985397,3226049898,3253614308,173257770.9,6648526.816,166609244,4012994,28084.25291
2009,Essex,2793,5261,1256,1232,54,251,37,2129,221,102,881,568,86259143.01,47241220,47216930,1789250.405,26760.417,1762489.988,359009,16687.99962
2009,Franklin,22486,44660,9942,10012,311,2221,499,19471,1487,556,5126,3535,1037075863,663758516,668518752,30256469.95,708287.9867,29548181.97,2205512,22091.71704
2009,Grand Isle,3669,6837,1719,1633,65,252,211,3034,474,81,816,471,199773354,131661136,132079162,6640480.129,366997.3657,6273482.763,271897,25625.16615
2009,Lamoille,12102,22434,4839,5952,203,1108,365,9937,1390,346,2959,2010,630964760.3,414324271,427751068,23418820.62,1180014.967,22238805.66,1169898,22534.49226
2009,Orange,14466,26931,6195,6722,254,1295,319,11628,1605,354,3530,2243,638949359,407819512,410821065,18764441.53,331483.4159,18432958.11,1337835,22283.71624
2009,Orleans,12880,24464,5582,5932,185,1181,238,10267,1060,334,4014,2693,459886921,273897440,276496671,12192684.13,408303.3301,11784380.8,1691757,18184.87189
2009,Rutland,31411,56228,12457,15898,456,2600,1370,26000,3032,799,8106,4856,1332517887,840296417.3,849773134.3,38914333.42,1622965.796,37291367.62,2766893.01,22186.17214
2009,Washington,29223,53418,11854,14336,452,2581,843,24564,3359,751,6463,3942,1432452998,950544189,964326874,46080386.77,1579891.25,44500495.52,2140103,24624.84209
2009,Windham,22003,39574,8541,10992,421,2049,1569,16777,2910,721,6055,3728,952847808,604965013,611868834,29080341.78,3077656.03,26002685.75,2075766,22169.37729
2009,Windsor,28708,52349,12031,13785,488,2404,975,22304,4124,945,7198,3881,1404164379,922150791,936635706,45646769.8,2173927.103,43472842.7,2150780,24061.73942
2009,Suppressed,199,385,113,78,2,6,39,116,42,9,76,19,26407609,24652724,19958408,1479516.221,68175,1411341.221,2505,27780.32468
2010,Addison,17706,33237,7672,8374,248,1412,652,14495,2101,551,4106,2419,871261491,581102235,583310197,27352041.07,925499.7838,26426541.28,1326095,23966.68553
2010,Bennington,17924,32894,7298,8633,314,1679,2237,13380,2226,551,5216,2884,904699587.3,598988240,610421582,29157449.6,4854054.313,24303395.29,1719758,23030.3992
2010,Caledonia,14213,27247,6127,6535,197,1354,319,11454,1281,413,3900,2803,577778883,360390751,363193388,16367462.24,540799.6461,15826662.6,1729695,19977.17396
2010,Chittenden,76078,137184,29439,40032,1058,5549,3280,66533,8568,2807,13702,7745,4780329005,3355627618,3420811415,178697638.2,6660525.851,172037112.3,4077450,28848.84335
2010,Essex,2877,5358,1270,1298,42,267,54,2201,209,111,888,595,91853604,52258129,52116634,2039916.644,36923.3807,2002993.263,374180,17254.53322
2010,Franklin,22923,45140,9959,10273,301,2390,554,19944,1410,594,5068,3722,1065290798,693069041,698784124,31352345.59,972567.9895,30379777.6,2305987,22421.67492
2010,Grand Isle,3696,6882,1710,1656,64,266,224,3099,451,117,819,498,206332709,139095878,141371964,6891357.938,312409.0425,6578948.895,291847,25903.69122
2010,Lamoille,12331,22764,4911,6087,194,1139,417,10179,1384,448,2864,2012,650853700,435981776,450182225,23054965.41,1647408.879,21407556.53,1174232,23060.58162
2010,Orange,14553,27190,6217,6725,249,1362,351,11770,1514,473,3478,2244,669529895.4,434708993,438218360,19279193.36,509313.198,18769880.17,1328298,22770.74448
2010,Orleans,13023,24538,5530,6019,212,1262,283,10400,1015,376,3912,2637,491547334.7,303211389.3,306369207.3,13764852.35,1217477.499,12547374.85,1671805,18926.67404
2010,Rutland,31936,56831,12446,16364,463,2663,1412,26567,2873,1023,7978,4920,1374716745,883410684.8,893144759.8,40165133.68,1772429.176,38392704.5,2799427,22698.77289
2010,Washington,29516,53785,11874,14557,436,2649,943,24936,3165,907,6301,3939,1489146144,1005470170,1018961833,48441076.11,1881616.441,46559459.67,2108026,25076.20918
2010,Windham,21961,39431,8484,10992,436,2049,1675,16883,2783,798,5743,3678,973475909.6,634572983.6,643347220.6,30114104.28,2838248.514,27275855.77,2089919,22871.5861
2010,Windsor,28772,52311,11925,13837,543,2467,1085,22564,3890,1148,6952,3870,1495090018,1010766175,1024706485,51011823.68,3094336.168,47917487.51,2136265,24772.7381
2010,Suppressed,166,309,81,71,5,9,26,100,26,9,72,14,6788051,5576119,5771643,296682.6289,28266.0889,268416.54,4770,22287.78964
2011,Addison,18076,33374,7617,8772,251,1436,679,14819,2132,550,4113,2454,923847284,623807096,624788655,29736600.36,1146888.787,28589711.58,1353177,24869.63259
2011,Bennington,17958,32794,7218,8744,322,1674,2272,13387,2226,612,5300,2955,944514482,638389328,650866064,33676814.59,4992263.727,28684550.86,1804975,23425.27035
2011,Caledonia,14315,27086,6068,6674,224,1349,322,11569,1245,412,3881,2752,589243953,367499250,370850706,16326233.55,473728.7528,15852504.8,1668481,20523.41712
2011,Chittenden,77102,137701,29455,40998,1031,5618,3532,67530,8657,2788,13825,7780,5101836474,3642093497,3702300261,195578351.7,8217307.318,187361044.4,4187295,29620.67328
2011,Essex,2856,5308,1271,1284,43,258,45,2217,189,115,862,604,102750903,61577715,61610027,2645764.423,46748.998,2599015.425,376937,17867.86643
2011,Franklin,23221,45203,9923,10590,358,2350,574,20236,1399,607,5017,3717,1113812510,735272739,738970707,33424939.93,973647.1216,32451292.81,2326278,23228.50227
2011,Grand Isle,3771,6892,1703,1735,72,261,203,3147,470,115,803,498,212880866,144803446,147428066,7340958.266,354404.3054,6986553.961,271154,27009.06979
2011,Lamoille,12593,22979,4892,6355,219,1127,428,10450,1391,463,2958,2027,670709105.1,455374423,469007952,24410140.32,1097355.725,23312784.6,1193769,23733.76601
2011,Orange,14620,27021,6149,6865,241,1365,350,11844,1486,448,3509,2296,665690157.1,435366259,437124708,19599993.54,417195.9409,19182797.6,1388028,23232.37238
2011,Orleans,13105,24518,5543,6048,221,1293,296,10547,1012,403,3820,2630,507642001.2,310635465,311416686,13693231.35,572914.4811,13120316.87,1676067,19536.06906
2011,Rutland,32047,56308,12282,16628,480,2657,1454,26781,2839,900,7996,4931,1434748354,941830044,949351430,43933080.76,2196078.164,41737002.59,2801233,23493.18949
2011,Washington,29514,53365,11765,14733,467,2549,1019,25029,3157,890,6220,3922,1600699545,1095764262,1114076071,56086777.84,2307955.112,53778822.73,2138882,25906.58985
2011,Windham,21948,39085,8389,11115,419,2025,1625,17005,2705,805,5830,3745,1006643944,663790665,671607198,31861456.6,2855175.174,29006281.43,2113467,23353.78688
