Year,Cnty,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2008,Essex,2862.0,5425.0,1293.0,1266.0,45.0,258.0,91631357.0,51572497.0,51265654.0,1970415.9109
2008,Franklin,22764.0,45078.0,9977.0,10178.0,356.0,2253.0,1058507846.28,685222190.0,680392582.0,30830193.80320001
2008,Grand Isle,3745.0,7007.0,1756.0,1649.0,58.0,282.0,212377406.0,143580107.0,140384660.0,6959004.844
2008,Lamoille,12265.0,22456.0,4868.0,6097.0,194.0,1106.0,666066856.81,449523105.0,443979125.0,23808500.78560001
2008,Orange,14637.0,27223.0,6264.0,6833.0,246.0,1294.0,658872195.56,425509188.37,418575073.37,18805615.7248
2008,Orleans,13114.0,24693.0,5639.0,6133.0,169.0,1173.0,491363986.6,299466235.0,294966180.0,12739031.5202
2008,Rutland,31718.0,56813.0,12654.0,16038.0,436.0,2590.0,1418346306.15,923134902.21,907325605.21,41046560.84899999
2008,Washington,29817.0,53925.0,11966.0,14753.0,488.0,2610.0,1490723392.6899998,1003260459.66,993049333.66,46547784.70700003
2008,Windham,22290.0,39837.0,8613.0,11296.0,434.0,1947.0,1021008707.22,671743457.0,657948792.0,29517326.65780001
2008,Windsor,29409.0,53132.0,12197.0,14351.0,507.0,2354.0,1591944398.03,1084160674.0,1042867472.0,49255189.05700003
2008,Suppressed,208.0,391.0,107.0,91.0,3.0,7.0,10472092.0,10366625.0,9387508.0,461630.9895
2009,Addison,17601.0,33144.0,7596.0,8349.0,295.0,1361.0,833041939.48,542697742.79,546536456.6199999,24643587.879900005
2009,Bennington,18032.0,33126.0,7368.0,8710.0,307.0,1647.0,841440784.59,534869163.0,546604258.0,23000596.73049999
2009,Caledonia,14142.0,27143.0,6137.0,6472.0,206.0,1327.0,554758847.6,336730297.0,340703564.0,14690733.2318
2009,Chittenden,75145.0,135951.0,29186.0,39449.0,1006.0,5504.0,4630985396.98,3226049897.96,3253614307.96,166609244.03489992
2009,Essex,2793.0,5261.0,1256.0,1232.0,54.0,251.0,86259143.00999999,47241220.0,47216930.0,1762489.9881999998
2009,Franklin,22486.0,44660.0,9942.0,10012.0,311.0,2221.0,1037075863.0,663758516.0,668518752.0,29548181.96720001
2009,Grand Isle,3669.0,6837.0,1719.0,1633.0,65.0,252.0,199773354.0,131661136.0,132079162.0,6273482.7633
2009,Lamoille,12102.0,22434.0,4839.0,5952.0,203.0,1108.0,630964760.34,414324271.0,427751068.0,22238805.65620001
