GEOID10,countyshort,county,total population,ethinicity,count,percentage
50027,Windsor,Windsor County,56670,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,13,0.00022939827068995942
50023,Washington,Washington County,59534,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,11,0.00018476836765545738
50013,Grand Isle,Grand Isle County,6970,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,4,0.0005738880918220947
50015,Lamoille,Lamoille County,24475,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,4,0.0001634320735444331
50017,Orange,Orange County,28936,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,3,0.00010367708045341443
50003,Bennington,Bennington County,37125,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,16,0.000430976430976431
50019,Orleans,Orleans County,27231,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,9,0.0003305056736807315
50007,Chittenden,Chittenden County,156545,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,48,0.0003066210993644
50009,Essex,Essex County,6306,OTHER RACE,9,0.0014272121788772598
50011,Franklin,Franklin County,47746,OTHER RACE,125,0.0026180203577263017
50005,Caledonia,Caledonia County,31227,OTHER RACE,92,0.0029461683799276266
50001,Addison,Addison County,36821,OTHER RACE,202,0.00548599983704951
50021,Rutland,Rutland County,61642,OTHER RACE,150,0.0024334057947503324
50025,Windham,Windham County,44513,OTHER RACE,211,0.004740188259609552
50027,Windsor,Windsor County,56670,OTHER RACE,141,0.0024880889359449442
50023,Washington,Washington County,59534,OTHER RACE,185,0.003107468001478147
50013,Grand Isle,Grand Isle County,6970,OTHER RACE,18,0.002582496413199426
50015,Lamoille,Lamoille County,24475,OTHER RACE,83,0.0033912155260469867
50017,Orange,Orange County,28936,OTHER RACE,82,0.0028338401990599944
50003,Bennington,Bennington County,37125,OTHER RACE,113,0.003043771043771044
50019,Orleans,Orleans County,27231,OTHER RACE,89,0.003268333884176123
50007,Chittenden,Chittenden County,156545,OTHER RACE,605,0.0038647034399054586
50009,Essex,Essex County,6306,TWO OR MORE RACES,83,0.013162067871868062
50011,Franklin,Franklin County,47746,TWO OR MORE RACES,1015,0.02125832530473757
50005,Caledonia,Caledonia County,31227,TWO OR MORE RACES,440,0.014090370512697346
50001,Addison,Addison County,36821,TWO OR MORE RACES,632,0.017164118302055893
50021,Rutland,Rutland County,61642,TWO OR MORE RACES,799,0.012961941533370104
50025,Windham,Windham County,44513,TWO OR MORE RACES,871,0.019567317412890615
50027,Windsor,Windsor County,56670,TWO OR MORE RACES,943,0.01664019763543321
50023,Washington,Washington County,59534,TWO OR MORE RACES,1052,0.01767057479759465
50013,Grand Isle,Grand Isle County,6970,TWO OR MORE RACES,195,0.027977044476327116
50015,Lamoille,Lamoille County,24475,TWO OR MORE RACES,364,0.014872318692543412
50017,Orange,Orange County,28936,TWO OR MORE RACES,439,0.015171412773016311
50003,Bennington,Bennington County,37125,TWO OR MORE RACES,467,0.012579124579124579
50019,Orleans,Orleans County,27231,TWO OR MORE RACES,445,0.016341669420880615
50007,Chittenden,Chittenden County,156545,TWO OR MORE RACES,3008,0.019214922226835733
50009,Essex,Essex County,6306,HISPANIC OR LATINO,59,0.00935616872819537
50011,Franklin,Franklin County,47746,HISPANIC OR LATINO,571,0.011959116994093745
50005,Caledonia,Caledonia County,31227,HISPANIC OR LATINO,331,0.010599801453870048
50001,Addison,Addison County,36821,HISPANIC OR LATINO,685,0.018603514298905516
50021,Rutland,Rutland County,61642,HISPANIC OR LATINO,681,0.01104766230816651
50025,Windham,Windham County,44513,HISPANIC OR LATINO,820,0.018421584705591625
50027,Windsor,Windsor County,56670,HISPANIC OR LATINO,696,0.01228163049232398
50023,Washington,Washington County,59534,HISPANIC OR LATINO,995,0.016713138710652737
50013,Grand Isle,Grand Isle County,6970,HISPANIC OR LATINO,80,0.011477761836441894
50015,Lamoille,Lamoille County,24475,HISPANIC OR LATINO,322,0.013156281920326864
50017,Orange,Orange County,28936,HISPANIC OR LATINO,282,0.009745645562620956
50003,Bennington,Bennington County,37125,HISPANIC OR LATINO,525,0.014141414141414142
50019,Orleans,Orleans County,27231,HISPANIC OR LATINO,305,0.01120047005251368
50007,Chittenden,Chittenden County,156545,HISPANIC OR LATINO,2856,0.018243955412181802
